Austria,Italy,Portugal,Greece,Taiwan*,Indonesia,India,Mexico,Thailand,Iran
70,190,112,118,2,1922,52509,6148,1,2751
93,384,167,118,0,1815,56282,6139,7,2697
83,401,213,150,1,1882,62538,6590,2,2634
159,552,290,147,0,2473,61537,6717,15,2450
119,347,186,151,2,2277,64399,6495,3,2125
90,463,131,202,-2,1893,62064,4376,3,2020
104,259,157,126,0,1687,53601,5558,0,2132
72,412,120,193,3,1693,60963,6686,0,2345
158,476,278,235,1,1942,66999,5858,5,2510
187,522,325,204,0,2098,64553,7371,3,2625
190,574,235,251,0,2307,64732,5618,17,2501
251,629,198,226,1,2345,64030,6345,0,2245
349,477,121,217,2,2081,57711,4448,1,2133
156,320,132,147,1,1821,55018,3571,1,2247
169,401,214,250,1,1673,64572,5506,3,2385
259,642,253,212,0,1902,69672,5792,1,2444
252,840,291,250,0,2266,68900,6775,7,2279
347,947,219,204,1,2197,69876,5928,1,2206
331,1071,241,243,0,2090,69239,6482,0,2028
302,1209,145,283,0,2037,61408,3948,5,2113
229,953,123,155,0,1877,60975,3541,2,2245
193,876,192,168,0,2447,57224,4916,5,2213
243,1366,362,0,0,2306,85687,5267,1,2243
301,1409,399,544,0,2719,77266,6026,1,2190
319,1460,401,269,0,3003,76472,5824,6,2115
226,1444,374,177,1,3308,78761,5974,1,1905
394,1365,320,157,0,2858,78512,4129,0,1754
237,996,244,183,0,2743,69921,3719,1,1642
223,975,231,207,0,2775,78357,6476,5,1682
221,1326,390,233,1,3075,83883,4921,8,1858
286,1397,418,241,0,3622,83341,5937,2,1994
429,1732,406,202,1,3269,86432,6196,4,2026
366,1694,486,186,2,3128,90632,6319,7,1894
380,1296,315,138,1,3444,90802,4614,6,1992
217,1150,249,139,1,2880,75809,3486,1,2152
367,1369,388,169,1,3046,89706,5351,1,2302
396,1430,646,248,0,3307,95735,4461,1,2313
552,1597,585,372,1,3861,96551,5043,7,2063
691,1616,687,282,2,3737,97570,5935,7,2313
598,1501,497,302,0,3806,94372,5674,5,2139
930,1456,673,204,0,3636,92071,4408,7,2089
415,1008,613,180,1,3141,83809,3335,2,2619
414,1229,425,310,0,3507,90123,4771,5,2705
820,1452,605,311,1,3963,97894,4444,10,2981
723,1583,770,359,3,3635,96424,3182,0,2815
854,1907,780,338,0,3891,93337,4841,7,3049
806,1637,849,240,3,4168,92605,5167,3,2845
874,1587,552,164,1,3989,86961,3542,6,3097
667,1350,623,453,2,4176,75083,2917,0,3341
471,1391,463,333,0,4071,83347,4683,5,3712
582,1640,802,358,0,4465,86508,4786,3,3605
719,1786,691,341,0,4634,86052,5408,2,3521
804,1912,899,286,1,4823,85362,5401,3,3563
657,1869,884,315,0,4494,88600,5573,3,3204
763,1766,665,216,0,3874,82170,3886,1,3362
591,1494,425,263,3,3509,70589,3400,22,3512
545,1647,688,416,0,4002,80472,4446,14,3677
739,1850,825,352,1,4284,86821,5053,5,3582
759,2548,854,411,1,4174,81484,5099,5,3825
854,2499,888,460,2,4317,79476,4775,6,3552
790,2843,963,267,0,4007,75829,4863,8,3523
1014,2578,904,229,0,3992,74442,3712,2,3653
718,2257,734,300,1,3622,61267,28115,5,3902
737,2677,427,399,3,4056,72049,4828,10,4151
927,3677,944,406,2,4538,78524,4580,15,4019
1078,4458,1278,434,1,4850,70496,5300,7,4392
1274,5372,1394,391,3,4094,73272,5532,6,4142
1110,5724,1646,306,0,4294,74383,4308,6,3875
1260,5456,1090,280,0,4497,66732,3175,2,3822
1014,4619,1249,294,2,3267,55342,3542,5,4206
830,5898,1208,408,1,3906,63509,4295,2,4108
1143,7332,2072,435,0,4127,67708,4056,9,4830
1321,8803,2101,452,1,4411,63371,5514,13,4616
1435,10009,2608,503,4,4301,62212,6751,4,4552
1522,10925,2153,482,0,4301,61871,5447,10,4103
1795,11705,1856,438,0,4105,55722,4119,7,3890
1485,9337,1949,432,5,3373,46790,3699,5,4251
1199,10871,1876,667,3,3602,54044,5788,9,5039
1646,15199,2535,865,1,4267,55839,6845,9,5616
1978,16078,3270,882,4,4432,54366,6612,10,5471
2654,19143,2899,841,0,4369,53370,6604,8,6134
3231,19640,3669,935,2,4070,50129,6025,4,5814
3347,21273,2577,790,0,3732,45148,4360,5,6191
2970,17007,2447,714,0,3222,36470,4166,7,5960
2474,21989,3299,1256,0,3520,43893,5942,3,6968
2782,24988,3960,1547,0,4029,49881,5595,12,6824
4373,26829,4224,1211,3,3565,48648,5948,5,8293
4469,31079,4656,1686,1,2897,48268,6000,12,8011
5047,31756,4007,2055,1,3143,46963,6151,5,7820
5715,29905,3062,1678,3,2696,45231,4430,4,7719
4790,22253,2506,1151,5,2618,38310,3763,3,8289
4479,28241,2596,2166,4,2973,46253,5250,10,8932
5192,30548,7497,2646,1,3356,50210,5225,7,8452
6362,34502,4410,2915,1,4065,47638,5567,6,8772
7111,37802,5550,2447,4,3778,50356,5931,8,8864
6953,39809,6640,2555,0,4262,45674,6810,12,9450
8090,32614,5784,1889,4,3880,45903,5887,7,9236
5325,25269,4096,1489,1,2853,38073,4960,3,10463
5744,35090,3817,2383,2,3779,44281,5746,4,10339
6247,32961,4935,2751,4,3770,47905,7646,3,11780
7435,37977,5839,3316,5,4173,44879,5658,5,11517
9177,40902,6653,3038,8,5444,44684,5558,9,11737
8257,37249,6602,2835,3,5272,41100,5860,5,11203
7018,33977,6035,1695,2,4106,30548,3269,8,12543
5098,27352,8371,2198,1,3535,29163,2874,1,13053
4612,32191,4452,2422,2,3807,38617,1757,3,13352
6075,34280,5891,3209,2,4265,45576,3918,2,13421
7522,36176,6994,3227,2,4798,45882,4472,8,13223
6434,37239,6489,2551,2,4792,46232,6426,4,13260
6607,34764,6472,2309,0,4998,45209,6719,10,12931
6465,28337,4788,1498,6,4360,44059,9187,11,13053
5154,22927,4044,1387,1,4442,37975,7483,7,12460
2436,23227,3919,2131,0,4192,44376,10794,2,13721
4608,25852,5290,2151,5,5534,44489,10335,4,13843
5743,29001,6383,2018,2,4917,43082,8107,16,13961
5391,28342,5444,1981,14,5828,41322,12081,19,14051
5018,26315,4868,1747,9,5418,41810,10728,5,13402
4238,20646,4093,1193,3,6267,38772,5668,11,12950
3737,16376,3262,1044,24,4617,31118,6472,21,13321
2391,19347,2401,2199,4,5092,36604,8819,10,13881
3375,20709,3384,2185,6,5533,35551,11251,18,13621
3937,23219,3772,1882,1,8369,36595,11030,13,13922
3568,24110,4935,1648,4,5803,36652,12127,14,13341
3656,21052,6087,1383,4,6027,36011,11625,19,12151
3591,18887,3834,903,22,6089,32981,7455,14,11561
2865,13679,2597,1250,0,5754,26567,6399,21,10827
2067,14837,2905,1324,2,5292,32080,11006,19,11023
2512,12755,4097,1675,2,6058,31521,11974,25,10223
2632,16998,3134,1533,4,6033,29373,11897,18,10403
2480,18726,5080,1395,1,6310,30031,12253,11,9384
3090,19902,4413,1194,8,6388,30254,12057,12,8411
2835,17937,4044,692,3,6189,27071,8608,17,7451
2636,12025,2194,639,4,5489,22065,5930,28,7501
2506,14839,2638,1199,2,6120,26382,11228,9,7704
2743,17568,4720,1185,7,6725,24010,10297,15,7603
2758,18233,4320,1153,8,7354,22890,11799,20,7453
2389,15401,4336,874,2,6689,25152,12248,16,7121
1950,16305,3835,901,4,7751,26624,12129,34,6421
2151,15102,3334,587,3,6982,24337,6870,576,6312
1505,10869,2099,525,0,6848,19556,5370,382,6151
1353,13316,2436,833,4,6347,23950,12511,427,6208
2107,13908,4602,935,6,7514,24712,11653,46,6261
2558,18039,4378,870,0,7199,23067,12485,67,6178
2855,19037,4146,617,4,7259,22273,9679,81,6021
1806,10405,1214,262,3,6740,18732,4974,110,5760
1287,8937,1577,342,2,6528,20021,6217,121,5502
1163,8581,2093,475,8,5854,16432,5996,144,5908
1697,11210,3336,1045,2,7903,20549,12099,155,6108
2125,16202,6049,942,2,8002,21822,12406,250,6272
2975,23477,7627,932,2,8074,20035,12159,194,6389
2711,22210,6951,597,3,8072,19079,11091,279,6287
2003,11825,3241,262,6,7203,18177,6359,216,6045
1591,14245,3384,390,4,6877,16504,5211,315,5960
1635,10798,4369,427,3,6753,16375,6464,745,6073
1895,15375,4956,927,2,7445,18088,11271,527,6113
2292,20326,10027,814,2,8854,20346,13345,365,6283
2961,18416,9927,510,3,9321,18139,13734,305,6360
2086,17529,10176,717,3,10617,0,14362,205,6251
2002,19976,9478,799,3,10046,36867,16105,212,5924
2298,18625,7502,445,0,9640,16311,10003,245,5968
1546,12530,5604,441,6,8692,12584,7594,249,6208
1387,14242,7259,841,4,10047,15968,14395,287,6408
1706,15773,10556,668,4,11278,16946,15873,157,6317
2161,17243,10698,595,0,11557,15590,16468,271,6471
1656,16144,10663,577,1,12818,15158,21366,188,6485
1536,16310,10947,510,8,14224,15144,20523,230,6100
1557,12544,10385,237,4,11287,13788,11170,374,6016
1320,8825,6702,318,7,9086,10050,8074,369,5806
1010,10496,10455,537,6,10365,13816,18894,171,5917
1631,13568,14647,511,2,12568,15244,20548,59,6182
1657,14055,13544,506,11,11703,14545,22339,142,6204
1742,13633,13987,562,0,13632,14256,21007,309,6332
1788,13331,15333,605,3,12191,14849,20057,198,6180
1453,11628,11721,334,5,11788,13203,10872,198,5945
1262,8559,6923,432,0,9994,9102,8521,187,6309
947,10584,10765,814,1,13094,12689,17165,959,6420
1425,15191,15073,857,3,11948,11666,17944,819,6608
1585,14360,16432,713,2,13695,18855,18670,756,6527
1472,13563,13200,882,4,13802,13082,16374,802,6573
1421,12713,12435,795,10,14518,13044,15337,930,6317
1487,11249,9498,484,2,12001,11436,7030,829,6268
1099,7925,5805,538,1,10994,8635,5448,836,6597
1134,9651,5540,1221,3,10379,11039,4384,836,6820
1218,13182,9083,1150,2,11984,12899,12153,795,6870
1643,13656,7914,1069,2,11434,12408,0,809,7040
1520,14213,6916,1172,4,11749,11713,26626,586,7054
1270,13439,6132,1106,1,12156,12059,13209,490,6990
1365,11640,3508,733,3,10827,11831,6065,237,7065
1146,7969,2505,629,1,8242,9110,3868,186,7321
999,10612,2583,1492,5,8700,11067,10738,189,7640
1232,12947,4387,1482,2,8776,12923,11138,157,7585
1470,15137,3480,1323,1,8435,9309,10677,201,7474
1668,13893,2854,1372,1,9869,12143,10388,175,7298
1563,13523,2856,1222,0,8844,12194,9741,126,7120
1268,11060,1677,662,0,6765,11649,4099,166,7390
1171,7344,1303,696,0,6462,9121,3098,143,7760
1168,10368,1502,1081,0,10029,11610,8683,72,8011
1500,12066,2324,754,1,9687,12881,8988,175,8042
1657,13755,1944,1400,2,9039,13193,9099,150,8066
1900,15470,1940,1435,1,10614,13993,7829,130,8017
1708,14914,1570,1424,1,8054,14264,7785,82,7922
2093,13450,1186,884,0,7300,14199,3104,92,7931
1656,9617,549,870,0,10180,10584,2252,89,8263
1225,13299,1032,2111,0,9775,13742,8634,95,8330
1890,16402,1480,1903,4,7533,16738,8642,93,8270
1967,19871,1160,1783,5,8493,16577,8462,72,8206
2445,20488,1027,1732,0,8232,16488,7512,45,8103
1889,18902,1071,1630,3,6208,16752,7246,72,7975
2496,17440,718,1269,1,5560,15510,2810,70,8010
2224,13106,394,1170,0,6680,12286,2343,80,8510
1401,17063,691,2312,0,5712,14989,7913,42,8495
2192,20840,979,2697,3,6808,17407,7793,35,8525
2452,22845,830,2217,2,7264,16838,7521,54,8404
2399,24010,949,2181,0,6971,18284,6797,79,8367
2350,23633,1007,2301,7,5767,18754,6561,64,8212
2763,20724,682,1142,2,5826,18599,2734,65,8010
2245,13882,365,1161,7,6894,15388,1877,71,8313
1948,19725,847,3181,1,6389,17921,7407,60,8554
2522,22275,642,2629,1,5633,22854,6602,39,8603
2411,25649,627,2570,0,5144,23285,6469,58,8308
2871,26790,577,2357,6,6412,24882,6816,81,8088
3055,26031,564,2503,0,4607,25320,6104,78,7802
3034,21304,541,1626,1,4714,26291,2415,170,7593
2525,15252,256,1134,5,5589,24492,1439,78,7980
1908,20376,384,1508,0,5414,28903,1278,149,8380
2759,23040,673,3458,0,6825,35871,6455,246,7802
2872,24901,485,3070,8,6570,39726,6726,92,7530
3521,25707,568,2762,6,6279,40953,5722,100,7620
3221,23913,457,2532,1,5656,43846,5729,121,7540
3650,20045,450,1514,1,4396,46951,2133,90,7260
2690,24501,248,1705,0,5744,40715,1388,73,7357
2439,18739,434,3517,1,5297,47262,5881,401,7290
3023,21246,575,3058,2,5227,53476,5714,69,7605
3539,23681,423,2587,3,6107,59118,5787,97,7506
3447,24076,488,1466,1,4982,62258,5303,134,7980
3216,23834,344,3132,7,4461,62714,5059,80,8120
3304,19604,365,1441,2,4083,68020,1646,77,8751
2646,12900,309,1724,1,5008,56211,1293,39,9310
3232,16055,388,4322,1,4682,53480,5067,48,10250
2797,23887,618,3612,6,5937,72330,5977,42,10330
3136,22184,592,3483,6,6142,81466,5381,26,11750
3393,21917,548,3058,3,5325,89129,3089,58,11660
3095,21247,280,3229,6,4345,93249,1838,84,11420
3308,18017,193,1955,2,6731,103558,1263,96,11680
2819,10680,159,1863,1,3712,96982,1247,194,13890
2333,7763,874,4293,2,4549,115736,4804,250,17430
2009,13686,663,3445,0,4860,126789,5370,334,20954
2850,17209,602,3215,0,5504,131968,5140,405,22586
2871,18924,694,2734,4,5265,145384,5045,559,22478
2509,17551,601,2799,2,4723,152879,6356,789,19666
3459,15737,566,1717,1,4127,168912,1793,967,21063
1967,9780,271,1606,1,4829,161736,1627,985,23311
2057,13439,408,4017,4,5702,184372,4512,965,24760
2242,16160,684,3081,5,5656,200739,4894,1338,25582
3179,16963,501,3822,1,6177,217353,4189,1543,25078
2737,15923,553,3027,2,5363,234692,4504,1582,25261
2356,15364,649,2411,2,5041,261394,4157,1547,21312
2366,12688,441,1829,1,4585,273802,1506,1767,21644
2033,8863,220,1606,3,4952,259167,1308,1390,24346
2015,12069,424,3750,2,5549,295158,4262,1443,25492
2092,13836,610,3010,4,5720,314644,4639,1458,24886
2531,16046,636,2756,4,6243,332921,3708,1470,24092
2618,14758,506,2739,4,5436,346786,3911,2070,22904
2484,13814,567,2596,7,4544,349691,3308,2839,18230
1972,13157,478,1399,3,4402,352991,1653,2438,19165
1898,8440,196,1307,4,5944,323023,1143,2048,21026
1592,10398,353,3287,6,4656,360927,3592,2179,20963
1917,13382,572,2770,6,5241,379308,3818,2012,21713
2272,14314,470,2415,5,5833,386555,3990,1871,19899
2157,13445,460,2125,7,5500,401993,3821,1583,19272
2119,12964,454,1389,4,4512,392488,3025,1891,17080
1667,9145,330,0,5,4394,368060,1093,1940,18698
1540,5946,180,2146,8,4730,357316,1027,2041,20732
1109,9113,258,1368,8,4369,382146,3064,1763,20150
1448,10579,387,2091,7,5285,412431,3021,2112,15872
1726,11798,373,3418,13,5647,414188,2846,1911,18409
1395,10549,377,2671,5,6327,401078,3043,2044,17076
1385,10174,406,2461,5,6130,403405,2743,2419,13576
1156,8289,324,1427,1,3922,366494,1175,2101,14141
1060,5077,158,1900,15,4891,329942,704,1630,18408
745,6943,268,3172,11,5021,348421,1897,1919,18133
928,7848,485,2478,21,4608,362727,3090,1983,16409
1158,8082,436,2139,25,3448,343144,3632,4887,14246
997,7562,450,2188,34,2633,326098,2880,2256,10145
852,6652,469,1950,185,2385,311170,2695,3095,7723
637,5748,334,1259,207,3080,281386,1233,2302,11291
683,3454,199,1395,335,4295,263533,822,9635,14319
521,4449,386,2781,243,4185,267334,2767,2473,13930
639,5500,511,2292,273,4871,276110,2000,3394,12789
845,5736,451,1886,292,5797,259551,2628,2636,12428
610,5215,559,1982,314,5746,257299,2604,3481,11250
661,4714,523,1503,723,5296,240842,2586,3052,8005
569,3993,413,875,460,5280,222315,1274,3382,8631
509,2489,241,1377,595,5907,196427,703,2713,11005
349,3220,375,2402,539,5060,208921,2483,3226,11873
407,3935,594,1511,635,5034,211298,2932,2455,10468
485,4143,572,1876,670,6278,186364,3050,3323,9994
607,3737,598,1928,554,5862,173790,3006,3759,10253
537,3348,609,1497,491,6565,165553,2725,4803,7107
424,2948,445,906,354,6115,152734,1307,4528,8876
385,1818,435,1005,351,5662,127510,932,5485,11042
328,2483,445,1857,331,4824,132788,6917,2230,10687
360,2896,724,1379,547,5246,134154,3269,3440,11620
