Date,Country,infections,Month,Year
11/9/2020,Austria,75,11,2020
11/10/2020,Austria,55,11,2020
11/11/2020,Austria,80,11,2020
11/12/2020,Austria,72,11,2020
11/13/2020,Austria,91,11,2020
11/14/2020,Austria,99,11,2020
11/15/2020,Austria,99,11,2020
11/16/2020,Austria,96,11,2020
11/17/2020,Austria,85,11,2020
11/18/2020,Austria,104,11,2020
11/19/2020,Austria,105,11,2020
11/20/2020,Austria,95,11,2020
11/21/2020,Austria,117,11,2020
11/22/2020,Austria,127,11,2020
11/23/2020,Austria,118,11,2020
11/24/2020,Austria,104,11,2020
11/25/2020,Austria,122,11,2020
11/26/2020,Austria,105,11,2020
11/27/2020,Austria,123,11,2020
11/28/2020,Austria,120,11,2020
11/29/2020,Austria,130,11,2020
11/30/2020,Austria,136,11,2020
12/1/2020,Austria,121,12,2020
12/2/2020,Austria,135,12,2020
12/3/2020,Austria,144,12,2020
12/4/2020,Austria,138,12,2020
12/5/2020,Austria,145,12,2020
12/6/2020,Austria,139,12,2020
12/7/2020,Austria,123,12,2020
12/8/2020,Austria,106,12,2020
12/9/2020,Austria,132,12,2020
12/10/2020,Austria,117,12,2020
12/11/2020,Austria,133,12,2020
12/12/2020,Austria,122,12,2020
12/13/2020,Austria,139,12,2020
12/14/2020,Austria,105,12,2020
12/15/2020,Austria,104,12,2020
12/16/2020,Austria,118,12,2020
12/17/2020,Austria,97,12,2020
12/18/2020,Austria,105,12,2020
12/19/2020,Austria,108,12,2020
12/20/2020,Austria,96,12,2020
12/21/2020,Austria,96,12,2020
12/22/2020,Austria,91,12,2020
12/23/2020,Austria,89,12,2020
12/24/2020,Austria,114,12,2020
12/25/2020,Austria,99,12,2020
12/26/2020,Austria,86,12,2020
12/27/2020,Austria,70,12,2020
12/28/2020,Austria,94,12,2020
12/29/2020,Austria,64,12,2020
12/30/2020,Austria,89,12,2020
12/31/2020,Austria,83,12,2020
1/1/2021,Austria,78,1,2021
1/2/2021,Austria,73,1,2021
1/3/2021,Austria,69,1,2021
1/4/2021,Austria,69,1,2021
1/5/2021,Austria,57,1,2021
1/6/2021,Austria,75,1,2021
1/7/2021,Austria,61,1,2021
1/8/2021,Austria,69,1,2021
1/9/2021,Austria,72,1,2021
1/10/2021,Austria,52,1,2021
1/11/2021,Austria,48,1,2021
1/12/2021,Austria,60,1,2021
1/13/2021,Austria,69,1,2021
1/14/2021,Austria,72,1,2021
1/15/2021,Austria,64,1,2021
1/16/2021,Austria,61,1,2021
1/17/2021,Austria,63,1,2021
1/18/2021,Austria,70,1,2021
1/19/2021,Austria,52,1,2021
1/20/2021,Austria,65,1,2021
1/21/2021,Austria,57,1,2021
1/22/2021,Austria,45,1,2021
1/23/2021,Austria,64,1,2021
1/24/2021,Austria,52,1,2021
1/25/2021,Austria,71,1,2021
1/26/2021,Austria,52,1,2021
1/27/2021,Austria,52,1,2021
1/28/2021,Austria,58,1,2021
1/29/2021,Austria,51,1,2021
1/30/2021,Austria,50,1,2021
1/31/2021,Austria,56,1,2021
2/1/2021,Austria,45,2,2021
2/2/2021,Austria,58,2,2021
2/3/2021,Austria,51,2,2021
2/4/2021,Austria,59,2,2021
2/5/2021,Austria,36,2,2021
2/6/2021,Austria,38,2,2021
2/7/2021,Austria,36,2,2021
2/8/2021,Austria,39,2,2021
2/9/2021,Austria,40,2,2021
2/10/2021,Austria,37,2,2021
2/11/2021,Austria,40,2,2021
2/12/2021,Austria,43,2,2021
2/13/2021,Austria,37,2,2021
2/14/2021,Austria,34,2,2021
2/15/2021,Austria,35,2,2021
2/16/2021,Austria,31,2,2021
2/17/2021,Austria,34,2,2021
2/18/2021,Austria,28,2,2021
2/19/2021,Austria,38,2,2021
2/20/2021,Austria,30,2,2021
2/21/2021,Austria,23,2,2021
2/22/2021,Austria,34,2,2021
2/23/2021,Austria,32,2,2021
2/24/2021,Austria,36,2,2021
2/25/2021,Austria,36,2,2021
2/26/2021,Austria,36,2,2021
2/27/2021,Austria,28,2,2021
2/28/2021,Austria,25,2,2021
3/1/2021,Austria,32,3,2021
3/2/2021,Austria,32,3,2021
3/3/2021,Austria,23,3,2021
3/4/2021,Austria,30,3,2021
3/5/2021,Austria,27,3,2021
3/6/2021,Austria,24,3,2021
3/7/2021,Austria,30,3,2021
3/8/2021,Austria,34,3,2021
3/9/2021,Austria,23,3,2021
3/10/2021,Austria,24,3,2021
3/11/2021,Austria,32,3,2021
3/12/2021,Austria,30,3,2021
3/13/2021,Austria,35,3,2021
3/14/2021,Austria,32,3,2021
3/15/2021,Austria,33,3,2021
3/16/2021,Austria,30,3,2021
3/17/2021,Austria,35,3,2021
3/18/2021,Austria,33,3,2021
3/19/2021,Austria,40,3,2021
3/20/2021,Austria,30,3,2021
3/21/2021,Austria,43,3,2021
3/22/2021,Austria,30,3,2021
3/23/2021,Austria,36,3,2021
3/24/2021,Austria,39,3,2021
3/25/2021,Austria,22,3,2021
3/26/2021,Austria,28,3,2021
3/27/2021,Austria,37,3,2021
3/28/2021,Austria,28,3,2021
3/29/2021,Austria,29,3,2021
3/30/2021,Austria,34,3,2021
3/31/2021,Austria,37,3,2021
4/1/2021,Austria,33,4,2021
4/2/2021,Austria,38,4,2021
4/3/2021,Austria,36,4,2021
4/4/2021,Austria,42,4,2021
4/5/2021,Austria,38,4,2021
4/6/2021,Austria,47,4,2021
4/7/2021,Austria,32,4,2021
4/8/2021,Austria,25,4,2021
4/9/2021,Austria,50,4,2021
4/10/2021,Austria,36,4,2021
4/11/2021,Austria,36,4,2021
4/12/2021,Austria,34,4,2021
4/13/2021,Austria,39,4,2021
4/14/2021,Austria,35,4,2021
4/15/2021,Austria,33,4,2021
4/16/2021,Austria,40,4,2021
4/17/2021,Austria,33,4,2021
4/18/2021,Austria,34,4,2021
4/19/2021,Austria,39,4,2021
4/20/2021,Austria,28,4,2021
4/21/2021,Austria,30,4,2021
4/22/2021,Austria,46,4,2021
4/23/2021,Austria,25,4,2021
4/24/2021,Austria,34,4,2021
4/25/2021,Austria,18,4,2021
4/26/2021,Austria,28,4,2021
4/27/2021,Austria,19,4,2021
4/28/2021,Austria,29,4,2021
4/29/2021,Austria,24,4,2021
4/30/2021,Austria,31,4,2021
5/1/2021,Austria,27,5,2021
5/2/2021,Austria,18,5,2021
5/3/2021,Austria,31,5,2021
5/4/2021,Austria,31,5,2021
5/5/2021,Austria,24,5,2021
5/6/2021,Austria,27,5,2021
5/7/2021,Austria,20,5,2021
5/8/2021,Austria,23,5,2021
5/9/2021,Austria,23,5,2021
5/10/2021,Austria,16,5,2021
5/11/2021,Austria,25,5,2021
5/12/2021,Austria,16,5,2021
5/13/2021,Austria,13,5,2021
5/14/2021,Austria,26,5,2021
5/15/2021,Austria,11,5,2021
5/16/2021,Austria,12,5,2021
5/17/2021,Austria,15,5,2021
5/18/2021,Austria,12,5,2021
5/19/2021,Austria,12,5,2021
5/20/2021,Austria,15,5,2021
5/21/2021,Austria,3,5,2021
5/22/2021,Austria,8,5,2021
5/23/2021,Austria,14,5,2021
5/24/2021,Austria,9,5,2021
5/25/2021,Austria,12,5,2021
5/26/2021,Austria,7,5,2021
5/27/2021,Austria,10,5,2021
5/28/2021,Austria,13,5,2021
5/29/2021,Austria,11,5,2021
5/30/2021,Austria,13,5,2021
5/31/2021,Austria,9,5,2021
6/1/2021,Austria,9,6,2021
6/2/2021,Austria,7,6,2021
6/3/2021,Austria,11,6,2021
6/4/2021,Austria,10,6,2021
6/5/2021,Austria,5,6,2021
6/6/2021,Austria,5,6,2021
6/7/2021,Austria,5,6,2021
6/8/2021,Austria,6,6,2021
6/9/2021,Austria,5,6,2021
6/10/2021,Austria,4,6,2021
6/11/2021,Austria,6,6,2021
6/12/2021,Austria,4,6,2021
6/13/2021,Austria,8,6,2021
6/14/2021,Austria,5,6,2021
6/15/2021,Austria,4,6,2021
6/16/2021,Austria,4,6,2021
6/17/2021,Austria,4,6,2021
6/18/2021,Austria,3,6,2021
6/19/2021,Austria,3,6,2021
6/20/2021,Austria,7,6,2021
6/21/2021,Austria,6,6,2021
6/22/2021,Austria,6,6,2021
6/23/2021,Austria,5,6,2021
6/24/2021,Austria,1,6,2021
6/25/2021,Austria,6,6,2021
6/26/2021,Austria,3,6,2021
6/27/2021,Austria,0,6,2021
6/28/2021,Austria,3,6,2021
6/29/2021,Austria,1,6,2021
6/30/2021,Austria,2,6,2021
7/1/2021,Austria,5,7,2021
7/2/2021,Austria,3,7,2021
7/3/2021,Austria,1,7,2021
7/4/2021,Austria,6,7,2021
7/5/2021,Austria,4,7,2021
7/6/2021,Austria,2,7,2021
7/7/2021,Austria,0,7,2021
7/8/2021,Austria,3,7,2021
7/9/2021,Austria,2,7,2021
7/10/2021,Austria,2,7,2021
7/11/2021,Austria,2,7,2021
7/12/2021,Austria,2,7,2021
7/13/2021,Austria,0,7,2021
7/14/2021,Austria,1,7,2021
7/15/2021,Austria,3,7,2021
7/16/2021,Austria,4,7,2021
7/17/2021,Austria,0,7,2021
7/18/2021,Austria,3,7,2021
7/19/2021,Austria,1,7,2021
7/20/2021,Austria,1,7,2021
7/21/2021,Austria,3,7,2021
7/22/2021,Austria,1,7,2021
7/23/2021,Austria,1,7,2021
7/24/2021,Austria,1,7,2021
7/25/2021,Austria,5,7,2021
7/26/2021,Austria,1,7,2021
7/27/2021,Austria,3,7,2021
7/28/2021,Austria,2,7,2021
7/29/2021,Austria,1,7,2021
7/30/2021,Austria,0,7,2021
7/31/2021,Austria,2,7,2021
8/1/2021,Austria,3,8,2021
8/2/2021,Austria,4,8,2021
8/3/2021,Austria,3,8,2021
8/4/2021,Austria,2,8,2021
8/5/2021,Austria,3,8,2021
8/6/2021,Austria,3,8,2021
8/7/2021,Austria,5,8,2021
8/8/2021,Austria,3,8,2021
8/9/2021,Austria,1,8,2021
8/10/2021,Austria,2,8,2021
8/11/2021,Austria,2,8,2021
8/12/2021,Austria,3,8,2021
8/13/2021,Austria,0,8,2021
8/14/2021,Austria,2,8,2021
8/15/2021,Austria,3,8,2021
8/16/2021,Austria,5,8,2021
8/17/2021,Austria,1,8,2021
8/18/2021,Austria,0,8,2021
8/19/2021,Austria,0,8,2021
8/20/2021,Austria,2,8,2021
8/21/2021,Austria,3,8,2021
8/22/2021,Austria,2,8,2021
8/23/2021,Austria,3,8,2021
8/24/2021,Austria,2,8,2021
8/25/2021,Austria,6,8,2021
8/26/2021,Austria,2,8,2021
8/27/2021,Austria,6,8,2021
8/28/2021,Austria,3,8,2021
8/29/2021,Austria,6,8,2021
8/30/2021,Austria,9,8,2021
